instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s03_cov050_seed00000031_bw025,6,3,0.5,0.25,1000,1,672,328,0.328,1.0,0.672
c06_s03_cov050_seed00000031_bw025,6,3,0.5,0.25,1000,2,335,665,0.665,0.0,0.0
c06_s03_cov050_seed00000031_bw025,6,3,0.5,0.25,1000,3,0,1000,1.0,,0.0
c06_s03_cov050_seed00000032_bw025,6,3,0.5,0.25,200,1,97,103,0.515,1.0,0.485
c06_s03_cov050_seed00000032_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000032_bw025,6,3,0.5,0.25,1000,1,493,507,0.507,1.0,0.493
c06_s03_cov050_seed00000032_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000033_bw025,6,3,0.5,0.25,200,1,91,109,0.545,1.0,0.455
c06_s03_cov050_seed00000033_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000033_bw025,6,3,0.5,0.25,1000,1,505,495,0.495,1.0,0.505
c06_s03_cov050_seed00000033_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000035_bw025,6,3,0.5,0.25,200,1,111,89,0.445,1.0,0.555
c06_s03_cov050_seed00000035_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000035_bw025,6,3,0.5,0.25,1000,1,528,472,0.472,1.0,0.528
c06_s03_cov050_seed00000035_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000036_bw025,6,3,0.5,0.25,200,1,105,95,0.475,1.0,0.525
c06_s03_cov050_seed00000036_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000036_bw025,6,3,0.5,0.25,1000,1,494,506,0.506,1.0,0.494
c06_s03_cov050_seed00000036_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000000_bw025,6,5,0.5,0.25,200,1,95,105,0.525,1.0,0.475
c06_s05_cov050_seed00000000_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000000_bw025,6,5,0.5,0.25,1000,1,479,521,0.521,1.0,0.479
c06_s05_cov050_seed00000000_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000001_bw025,6,5,0.5,0.25,200,1,105,95,0.475,1.0,0.525
c06_s05_cov050_seed00000001_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000001_bw025,6,5,0.5,0.25,1000,1,510,490,0.49,1.0,0.51
c06_s05_cov050_seed00000001_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000002_bw025,6,5,0.5,0.25,200,1,97,103,0.515,1.0,0.485
c06_s05_cov050_seed00000002_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000002_bw025,6,5,0.5,0.25,1000,1,486,514,0.514,1.0,0.486
c06_s05_cov050_seed00000002_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000003_bw025,6,5,0.5,0.25,200,1,108,92,0.46,1.0,0.54
c06_s05_cov050_seed00000003_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000003_bw025,6,5,0.5,0.25,1000,1,524,476,0.476,1.0,0.524
c06_s05_cov050_seed00000003_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000004_bw025,6,5,0.5,0.25,200,1,105,95,0.475,1.0,0.525
c06_s05_cov050_seed00000004_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000004_bw025,6,5,0.5,0.25,1000,1,505,495,0.495,1.0,0.505
c06_s05_cov050_seed00000004_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000005_bw025,6,5,0.5,0.25,200,1,103,97,0.485,1.0,0.515
c06_s05_cov050_seed00000005_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000005_bw025,6,5,0.5,0.25,1000,1,523,477,0.477,1.0,0.523
c06_s05_cov050_seed00000005_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000006_bw025,6,5,0.5,0.25,200,1,101,99,0.495,1.0,0.505
c06_s05_cov050_seed00000006_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000006_bw025,6,5,0.5,0.25,1000,1,511,489,0.489,1.0,0.511
c06_s05_cov050_seed00000006_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000007_bw025,6,5,0.5,0.25,200,1,94,106,0.53,1.0,0.47
c06_s05_cov050_seed00000007_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000007_bw025,6,5,0.5,0.25,1000,1,504,496,0.496,1.0,0.504
c06_s05_cov050_seed00000007_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000008_bw025,6,5,0.5,0.25,200,1,99,101,0.505,1.0,0.495
c06_s05_cov050_seed00000008_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000008_bw025,6,5,0.5,0.25,1000,1,515,485,0.485,1.0,0.515
c06_s05_cov050_seed00000008_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000009_bw025,6,5,0.5,0.25,200,1,105,95,0.475,1.0,0.525
c06_s05_cov050_seed00000009_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000009_bw025,6,5,0.5,0.25,1000,1,515,485,0.485,1.0,0.515
c06_s05_cov050_seed00000009_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000010_bw025,6,5,0.5,0.25,200,1,90,110,0.55,1.0,0.45
c06_s05_cov050_seed00000010_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000010_bw025,6,5,0.5,0.25,1000,1,501,499,0.499,1.0,0.501
c06_s05_cov050_seed00000010_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s05_cov050_seed00000011_bw025,6,5,0.5,0.25,200,1,91,109,0.545,1.0,0.455
c06_s05_cov050_seed00000011_bw025,6,5,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s05_cov050_seed00000011_bw025,6,5,0.5,0.25,1000,1,496,504,0.504,1.0,0.496
c06_s05_cov050_seed00000011_bw025,6,5,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
