origin,base_id,network,treatment,outcome,menu_index,source,members,size
real_network,real__sachs__Mek__Erk,sachs,Mek,Erk,5,O_true,PKA,1
real_network,real__sachs__Mek__Erk,sachs,Mek,Erk,6,an_minus_de;pa_true,PKA;PKC;Raf,3
real_network,real__Kampen_2014__AFF__ALN,Kampen_2014,AFF,ALN,0,O_minus_v0;empty,,0
real_network,real__Kampen_2014__AFF__ALN,Kampen_2014,AFF,ALN,1,O_plus_v0;an_minus_de;pa_true,AIS;SAN,2
real_network,real__Kampen_2014__AFF__ALN,Kampen_2014,AFF,ALN,2,O_true,SAN,1
real_network,real__Kampen_2014__AFF__APA,Kampen_2014,AFF,APA,0,O_minus_v0;empty,,0
real_network,real__Kampen_2014__AFF__APA,Kampen_2014,AFF,APA,1,O_plus_v0;an_minus_de;pa_true,AIS;SAN,2
real_network,real__Kampen_2014__AFF__APA,Kampen_2014,AFF,APA,2,O_true,SAN,1
real_network,real__Kampen_2014__AFF__CDR,Kampen_2014,AFF,CDR,0,O_minus_v0;empty,,0
real_network,real__Kampen_2014__AFF__CDR,Kampen_2014,AFF,CDR,1,O_plus_v0;an_minus_de;pa_true,AIS;SAN,2
real_network,real__Kampen_2014__AFF__CDR,Kampen_2014,AFF,CDR,2,O_true,SAN,1
