stratum,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips
flip_cov100_bw000,flip,phi_1,AUC_frac,ok,540,24,543,0,3,-0.41587552750704265,6.766723711748323e-42,-0.6586750930212644,-0.2631978138800048,0,-0.4821449885427209,-0.37060415800946844,barley,paths,False
flip_cov100_bw000,flip,phi_1,AUC_frac_usable,ok,540,24,543,0,3,-0.4274233184528219,3.7146942587902765e-44,-0.6730660540014489,-0.27431044323994663,0,-0.4989298081113053,-0.3830518097463268,barley,paths,False
flip_cov100_bw000,flip,r_claim,AUC_frac,undefined (predictor constant),540,24,543,0,3,,,,,,,,,,
flip_cov100_bw000,flip,r_claim,AUC_frac_usable,undefined (predictor constant),540,24,543,0,3,,,,,,,,,,
flip_cov100_bw010,flip,radius,AUC_frac,ok,1579,24,1629,0,50,0.13537601598691015,9.851475162940034e-12,-0.28475085335745803,0.4215455163705566,0,-0.0627721389012274,0.2512425031017027,insurance,paths,True
flip_cov100_bw010,flip,radius,AUC_frac_usable,ok,1579,24,1629,0,50,0.12632490904524413,2.105578989472938e-10,-0.2988291718646759,0.4135358722576968,0,-0.07511326329685705,0.24111270811675647,insurance,paths,True
flip_cov100_bw010,flip,shd_truth,AUC_frac,ok,1579,24,1629,0,50,0.241367556170109,9.491274901563266e-36,0.021206514021585143,0.505421644909597,0,0.19998166265737152,0.3766880721387766,diabetes,insurance,False
flip_cov100_bw010,flip,shd_truth,AUC_frac_usable,ok,1579,24,1629,0,50,0.25982410200025896,3.757110587973608e-41,0.043311822333669286,0.522489639668871,0,0.22860528856702134,0.40125079891270377,paths,insurance,False
flip_cov100_bw010,flip,n_k,AUC_frac,ok,1579,24,1629,0,50,0.30428267766636136,3.2116394242076434e-63,0.10175346752727135,0.5696206528480436,0,0.24787567270227073,0.4135453775587451,paths,insurance,False
flip_cov100_bw010,flip,n_k,AUC_frac_usable,ok,1579,24,1629,0,50,0.32056784756107964,5.7747256795570565e-70,0.12069839176034554,0.5840122813843481,0,0.265493600462473,0.4359725231723016,paths,insurance,False
flip_cov100_bw010,flip,k_g0,AUC_frac,ok,1579,24,1629,0,50,0.14643160371598357,5.126134662204835e-16,-0.17377108119615484,0.36320200592199325,0,0.06448809037864262,0.23867923076597305,diabetes,barley,False
flip_cov100_bw010,flip,k_g0,AUC_frac_usable,ok,1579,24,1629,0,50,0.16274831579279087,2.023558420703956e-19,-0.14064358009642994,0.37655408538821844,0,0.08852718052519958,0.24927536558288338,diabetes,barley,False
flip_cov100_bw010,flip,separation,AUC_frac,ok,879,20,1629,0,750,0.07643003381286669,0.005322654361096597,-0.35878050217586355,0.39395700282762663,0,-0.10610247995937977,0.2355206881124788,insurance,paths,True
flip_cov100_bw010,flip,separation,AUC_frac_usable,ok,879,20,1629,0,750,0.06470269395138953,0.018313340301559036,-0.37079273960146286,0.38299397136156377,0,-0.125015964823127,0.22136076506466837,insurance,paths,True
flip_cov100_bw010,flip,phi_1,AUC_frac,insufficient_n,0,0,1629,0,1629,,,,,,,,,,
