n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,gate_exhausted,gate_error
8,0.5,2,0,2,V2,V0,2,1,1,2,0.00010887499956879765,7.000000005064066e-05,8.808300117379986e-05,False,False,0.0001969580007425975,0.0001788749996194383,0.00018095799896400422,False,False,0.00010041600035037845,False,False,0.00010120799925061874,False,False,local_up_fast,True,1.9614204913097317,,0.9921745424659657,,1.9460714785486029,,0.9884890452121973,1.7879811902604914,1.7673998196179612,False,
8,0.5,3,0,3,V1,V0,2,6,6,5,0.08524025000042457,0.0004077079993294319,0.0006566660013049841,False,False,0.08589691600172955,0.085647957999754,0.00042454200047359336,False,False,0.0002644159994815709,False,False,0.00026170799901592545,False,False,local_up_fast,True,324.8552136411713,,1.0103474119087994,,328.2166243474375,,201.74201352094803,1.622197265922159,327.26534275531316,False,
8,0.5,4,0,4,V0,V4,1,2,2,3,0.0003308750001451699,0.00010029099939856678,0.00012441699982446153,False,False,0.00045529199996963143,0.0004311659995437367,0.0002958750010293443,False,False,0.0001540829998702975,False,False,0.0001413749996572733,False,False,local_up_fast,True,2.954849012239395,,1.0898885958891702,,3.2204562410140958,,1.4572572810941014,2.092838208640961,3.049803717693976,False,
8,0.5,5,0,5,V2,V0,3,7,7,5,0.450818999999683,7.079200076987036e-05,0.00038700000004610047,False,False,0.4512059999997291,0.45088979200045287,0.00035408299845585134,False,False,0.00020895800116704777,False,False,0.00022212500152818393,False,False,local_up_fast,True,2159.3142999057523,,0.9407225649046738,,2031.315686642679,,1273.4014170880102,1.5940708881027252,2029.8921278487533,False,
8,0.5,6,0,6,V0,V1,4,2,2,3,0.00041237500045099296,0.00017058299999916926,0.00013883300016459543,False,False,0.0005512080006155884,0.0005829580004501622,0.000583500001084758,False,False,0.00020258299991837703,False,False,0.00020383300034154672,False,False,local_up_fast,True,2.7208995860347427,,0.9938675267445646,,2.7042137420926595,,0.9990711214505773,2.862637551853888,2.8599785092371985,False,
8,0.5,7,0,7,V1,V3,3,5,5,5,0.023094458998457412,0.0027165419996890705,0.0013218749991210643,False,False,0.024416333997578477,0.025811000998146483,0.009911958000884624,False,False,0.0015805000002728775,False,False,0.021973083001284976,False,False,e1_ladder,True,15.448487183399514,,0.07192891412554399,,1.1111929079843106,,2.604026469426414,0.4510954607646536,1.1746645200692623,False,
8,0.7,0,0,0,V0,V1,3,2,2,2,0.0005427500000223517,4.28749990533106e-05,0.00010404199929325841,False,False,0.0006467919993156102,0.0005856249990756623,0.0002299169991601957,False,False,0.00012316699940129183,False,False,0.00011370799984433688,False,False,local_up_fast,True,5.251341694282002,,1.0831867552846244,,5.688183770720183,,2.547114833677981,2.0219949297757918,5.150253279253587,False,
8,0.7,1,0,1,V0,V2,1,2,2,3,0.00044666699977824464,3.329099854454398e-05,0.00011933399946428835,False,False,0.000566000999242533,0.0004799579983227886,0.00020554200091282837,False,False,0.00014120800005912315,False,False,0.00013324999963515438,False,False,local_up_fast,True,4.0082785607440865,,1.059722329799311,,4.247662294876353,,2.335084781656581,1.5425290917494436,3.601936207406674,False,
8,0.7,2,0,2,V2,V0,5,3,3,3,0.0022426249997806735,0.0008167910000338452,0.0003368340003362391,False,False,0.0025794590001169126,0.0030594159998145187,0.0017234580009244382,False,False,0.0004016660004708683,False,False,0.0004019999996671686,False,False,local_up_fast,True,6.421900278074428,,0.9991691562274209,,6.416564682220266,,1.7751613315633405,4.287208961073025,7.6104875680286765,False,
8,0.7,3,0,3,V1,V0,4,10,10,6,17.49295387500024,0.000224584000534378,0.0011274590015091235,False,False,17.49408133400175,17.493178459000774,0.0006622909986617742,False,False,0.00035883400050806813,False,False,0.0006207079986779718,False,False,local_up_fast,True,48752.57447519499,,0.5781043602987853,,28184.075879901487,,26413.13032239228,1.066992853438926,28182.62129094356,False,
